강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 전국
기간 : 20220101~20221231

날짜,지점,강수량(mm)
2022-01-01,전국,0
2022-01-02,전국,0.1
2022-01-03,전국,0
2022-01-04,전국,0
2022-01-05,전국,0.2
2022-01-06,전국,0
2022-01-07,전국,0
2022-01-08,전국,0
2022-01-09,전국,0
2022-01-10,전국,0.1
2022-01-11,전국,0.2
2022-01-12,전국,0
2022-01-13,전국,0.1
2022-01-14,전국,0
2022-01-15,전국,0
2022-01-16,전국,0.1
2022-01-17,전국,0.2
2022-01-18,전국,0
2022-01-19,전국,0.4
2022-01-20,전국,0.1
2022-01-21,전국,0
2022-01-22,전국,0
2022-01-23,전국,0.1
2022-01-24,전국,0.2
2022-01-25,전국,0.4
2022-01-26,전국,0
2022-01-27,전국,0
2022-01-28,전국,0
2022-01-29,전국,0
2022-01-30,전국,0
2022-01-31,전국,0.4
2022-02-01,전국,0.5
2022-02-02,전국,0
2022-02-03,전국,0
2022-02-04,전국,0.2
2022-02-05,전국,0.2
2022-02-06,전국,0
2022-02-07,전국,0
2022-02-08,전국,0
2022-02-09,전국,0
2022-02-10,전국,0
2022-02-11,전국,0
2022-02-12,전국,0
2022-02-13,전국,0.3
2022-02-14,전국,0.4
2022-02-15,전국,0.1
2022-02-16,전국,0.4
2022-02-17,전국,0
2022-02-18,전국,0
2022-02-19,전국,0
2022-02-20,전국,0.1
2022-02-21,전국,0.1
2022-02-22,전국,0
2022-02-23,전국,0
2022-02-24,전국,0
2022-02-25,전국,0
2022-02-26,전국,1.2
2022-02-27,전국,0
2022-02-28,전국,0
2022-03-01,전국,2.1
2022-03-02,전국,0
2022-03-03,전국,0
2022-03-04,전국,0
2022-03-05,전국,0
2022-03-06,전국,0
2022-03-07,전국,0
2022-03-08,전국,0
2022-03-09,전국,0
2022-03-10,전국,0
2022-03-11,전국,0
2022-03-12,전국,0.6
2022-03-13,전국,18.6
2022-03-14,전국,3.6
2022-03-15,전국,0
2022-03-16,전국,0
2022-03-17,전국,5.8
2022-03-18,전국,6.9
2022-03-19,전국,10.4
2022-03-20,전국,0.1
2022-03-21,전국,0
2022-03-22,전국,0
2022-03-23,전국,0
2022-03-24,전국,0
2022-03-25,전국,11.8
2022-03-26,전국,27.7
2022-03-27,전국,0
2022-03-28,전국,0
2022-03-29,전국,0
2022-03-30,전국,0.7
2022-03-31,전국,1
2022-04-01,전국,0.1
2022-04-02,전국,0
2022-04-03,전국,0
2022-04-04,전국,0
2022-04-05,전국,0
2022-04-06,전국,0
2022-04-07,전국,0.6
2022-04-08,전국,0
2022-04-09,전국,0
2022-04-10,전국,0
2022-04-11,전국,0.1
2022-04-12,전국,0.2
2022-04-13,전국,10
2022-04-14,전국,1.7
2022-04-15,전국,0
2022-04-16,전국,0
2022-04-17,전국,0
2022-04-18,전국,0
2022-04-19,전국,0
2022-04-20,전국,0
2022-04-21,전국,1
2022-04-22,전국,0
2022-04-23,전국,0
2022-04-24,전국,0
2022-04-25,전국,9.2
2022-04-26,전국,22.7
2022-04-27,전국,0
2022-04-28,전국,0
2022-04-29,전국,13.7
2022-04-30,전국,0
2022-05-01,전국,0
2022-05-02,전국,0.4
2022-05-03,전국,0
2022-05-04,전국,0
2022-05-05,전국,0
2022-05-06,전국,0
2022-05-07,전국,0.3
2022-05-08,전국,0.6
2022-05-09,전국,0.4
2022-05-10,전국,0
2022-05-11,전국,0
2022-05-12,전국,0
2022-05-13,전국,0.8
2022-05-14,전국,0
2022-05-15,전국,0
2022-05-16,전국,0
2022-05-17,전국,0
2022-05-18,전국,0.1
2022-05-19,전국,0
2022-05-20,전국,0
2022-05-21,전국,0.2
2022-05-22,전국,0
2022-05-23,전국,0
2022-05-24,전국,0
2022-05-25,전국,1.2
2022-05-26,전국,1.3
2022-05-27,전국,0
2022-05-28,전국,0
2022-05-29,전국,0.1
2022-05-30,전국,0.5
2022-05-31,전국,0
2022-06-01,전국,0
2022-06-02,전국,0
2022-06-03,전국,0
2022-06-04,전국,0
2022-06-05,전국,18.6
2022-06-06,전국,8.3
2022-06-07,전국,6.6
2022-06-08,전국,0.4
